Description,Index
"La maison d'un artiste, Tome 2, by Edmond de Goncourt                    
 [Language: French]",47171
"Gabriel Lambert, by Alexandre Dumas                                      
 [Language: French]",46747
"Le Tour du monde en quatre-vingts jours, by Jules Verne                  
 [Illustrators: De Neuville and L. Benett]
 [Language: French]",46541
"Oeuvres complètes de Guy de Maupassant, by Guy de Maupassant             
 [Language: French]",46470
"Oeuvres complètes de Guy de Maupassant - volume 3, by Guy de Maupassant  
 [Subtitle: La maison Tellier; Ma femme;
  Les conseils d'une grand'mère]
 [Language: French]",46387
"La maison d'un artiste, by Edmond de Goncourt                            
 [Language: French]",46183
"La femme au dix-huitième siècle, by Edmond de Goncourt                   
 and Jules de Goncourt
 [Language: French]",46142
"Autour de la lune, by Jules Verne                                        
 [Illustrators: Emile Bayard, A. de Neuville,
  and Hildibrand]
 [Language: French]",46111
"L'âme enchantée, Vol.1, by Romain Rolland                                
 [Subtitle: Annette et Sylvie]
 [Language: French]",45970
"Poésies Complètes - Tome 2, by Théophile Gautier                         
 [Language: French]",45886
"Tamaris, by George Sand                                                  
 [Language: French]",45753
"Oeuvres complètes de Guy de Maupassant, Volume 2, by Guy de Maupassant   
 [Language: French]",45312
"Oeuvres complètes de Guy de Maupassant - volume 1, by Guy de Maupassant  
 [Subtitle: Boule de suif]
 [Language: French]",45119
"La comédie humaine, volume III, by Honoré de Balzac                      
 [Subtitle: Scènes de la vie privée tome III]
 [Language: French]",45060
"Les tribulations d'un chinois en Chine, by Jules Verne                   
 [Illustrator: Benett]
 [Language: French]",45058
"Cinq-Mars, (Tome II of 2), by Alfred de Vigny                            
 [Subtitle: ou, Une conjuration sous Louis XIII]
 [Illustrator: Pierre Georges Jeanniot]
 [Language: French]",44199
"Cinq-Mars, (Tome I of 2), by Alfred de Vigny                             
 [Subtitle: ou, Une conjuration sous Louis XIII]
 [Illustrator: Pierre Georges Jeanniot]
 [Language: French]",44198
"Poésies Complètes, Tome 1 of 2 by Théophile Gautier                      
 [Language: French]",44180
"Émaux et camées, by Théophile Gautier                                    
 [Illustrator: Jules Jacquemart]
 [Language: French]",44160
"Le Calvaire, by Octave Mirbeau                                           
 [Language: French]",44139
"La Coupe; Lupo Liverani; Le Toast; Garnier; Le Contrebandier;            
 La Rêverie à Paris, by George Sand
 [Language: French]",43889
"La comédie humaine, volume II, by Honoré de Balzac                       
 [Subtitle: Scènes de la vie privée tome II]
 [Language: French]",43851
"La Cour de Lunéville au XVIIIe siècle, by Gaston Maugras                 
 [Subtitle: Les marquises de Boufflers et du Châtelet,
  Voltaire, Devau, Saint-Lambert, etc.]
 [Language: French]",42986
"Histoire de ma Vie, Livre 3 (Vol. 10 - 13), by George Sand               
 [Language: French]",42765
"Le Rhin, Tome II, by Victor Hugo                                         
 [Language: French]",42151
"Le Rhin I, by Victor Hugo                                                
 [Language: French]",41986
"Dictionnaire raisonn?es onomatop? fran?ses, by Charles Nodier      
 [Language: French]",41577
"Histoire de ma Vie, Livre 2 (Vol. 5 to 9), by George Sand                
 [Language: French]",41322
"Le Rhin. T. IV, by Victor Hugo                                           
 [Language: French]",40239
"Le Rhin. T. III, by Victor Hugo                                          
 [Language: French]",40172
"Jacques le fataliste et son ma?e, by Denis Diderot                     
 [Language: French]",39976
"L?a, by George Sand                                                    
 [Illustrators: Tony Johannot and Maurice Sand]
 [Language: French]",39738
"Musiciens d'autrefois, by Romain Rolland                                 
 [Language: French]",39687
"Andr?e Savoyard, by Charles Paul de Kock                               
 [Language: French]",39679
"Histoire de ma Vie, Livre 1 (Vol.1 to 4), by George Sand                 
 [Language: French]",39101
"De la terre ?a lune, by Jules Verne                                    
 [Subtitle: trajet direct en 97 heures 20 minutes]
 [Illustrator: de Montaut]
 [Language: French]",38674
"Victor Hugo, son oeuvre po?que, by Ernest Dupuy                        
 [Language: French]",38074
"Lettres d'un voyageur, by George Sand                                    
 [Language: French]",37989
"Vie de Tolstoy, by Romain Rolland                                        
 [Language: French]",37951
"Le comte de Moret, by Alexandre Dumas                                    
 [Language: French]",37771
"Les bijoux indiscrets, by Denis Diderot                                  
 [Language: French]",37491
"Les Pr?rseurs, by Romain Rolland                                       
 [Language: French]",37306
"Pr?ces et manifestes litt?ires,                                      
 by Edmond de Goncourt and Jules de Goncourt
 [Language: French]",37051
"Le barbier de S?lle ou la pr?ution inutile,                          
 by Pierre Augustin Caron de Beaumarchais
 [Language: French]",36826
"Cr?ion et r?mption; by Alexandre Dumas                               
 [Subtitle: Premi? partie: Le docteur myst?eux]
 [Language: French]",36812
"Lettres de mon moulin, by Alphonse Daudet                                
 [Language: French]",36780
"Les Dieux ont soif, by Anatole France                                    
 [Language: French]",36477
"Jacques Ortis; Les fous du docteur Miraglia, by Alexandre Dumas          
 [Language: French]",35951
"Quelques cr?ures de ce temps,                                          
 by Edmond de Goncourt and Jules de Goncourt
 [Language: French]",35223
"L'autre Tartuffe, ou La m? coupable,                                   
 by Pierre Augustin Caron de Beaumarchais          
 [Language: French]",34841
"L'enfant de ma femme, by Charles Paul de Kock                            
 [Language: French]",34432
"Histoire de Marie-Antoinette,                                            
 by Edmond de Goncourt and Jules de Goncourt
 [Subtitle: Nouvelle ?tion revue et augment?
 [Language: French]",34351
"La petite fadette, by George Sand                                        
 [Language: French]",34204
"Lettres persanes, tome II,                                               
 by Charles-Louis de Secondat, baron de Montesquieu
 [Language: French]",33856
"Documents In?ts sur Alfred de Musset, by Maurice Clouard               
 [Language: French]",33738
"Vie de Jeanne d'Arc, by Anatole France                                   
 [Subtitle: Vol. 2 de 2]
 [Language: French]",33693
"Vie de Jeanne d'Arc, by Anatole France                                   
 [Subtitle: Vol. 1 de 2]
 [Language: French]",33692
"Histoire du v?table Gribouille, by George Sand                         
 [Illustrator: Maurice Sand]
 [Language: French]",32640
"Madeleine, by Charles Paul de Kock                                       
 [Language: French]",32113
"""La Guzla"" de Prosper Mérimée, by Voyslav M. Yovanovitch                 
 [Language: French]",31474
"Jean, by Charles Paul de Kock                                            
 [Language: French]",31069
"Le Piccinino, by George Sand                                             
 [Language: French]",30831
"La Femme de Paul, by Guy de Maupassant                                   
 [Language: French]",30587
"Atar-Gull, Un Corsaire, Le Parisien en Mer, Voyages et                   
 Aventures sur Mer de Narcisse Gelin, by Eugène Sue
 [Subtitle: romans maritimes]
 [Language: French]",30582
"La fille Elisa, by Edmond de Goncourt                                    
 [Language: French]",30317
"Les Femmes qui tuent et les Femmes qui votent, by Alexandre Dumas, Fils  
 [Language: French]",29937
"Les contemplations, v 2-2, by Victor Hugo                                
 [Language: French]",29844
"Les contemplations, v 1-2, by Victor Hugo                                
 [Language: French]",29843
"Le Roi s'amuse, by Victor Hugo                                           
 [Language: French]",29549
"Les mystères du peuple, Tome III by Eugène Sue                           
 [Subtitle: Histoire d'une famille de prolétaires à travers les âges]
 [Language: French]",29094
"Cadio, by George Sand                                                    
 [Language: French]",28977
"La religieuse, by Denis Diderot                                          
 [Language: French]",28827
"Le poëme de Myrza - Hamlet, by George Sand                               
 [Language: French]",28623
"L'oiseau blanc, by Denis Diderot                                         
 [Subtitle: conte bleu]
 [Language: French]",28605
"Entretien d'un père avec ses enfants, by Denis Diderot                   
 [Language: French]",28604
"Les deux amis de Bourbonne, by Denis Diderot                             
 [Language: French]",28603
"Ceci n'est pas un conte, by Denis Diderot                                
 [Language: French]",28602
"Alfred de Musset et George Sand, by Maurice Clouard                      
 [Subtitle: dessins par Alfred de Musset]
 [Language: French]",28211
"Alfred de Musset, by Arvède Barine                                       
 [Language: French]",28210
"Colas Breugnon, by Romain Rolland                                        
 [Subtitle: R?t bourguignon]
 [Language: French]",27854
"Les mystères du peuple, tome I, by Eugène Sue                            
 [Subtitle: Histoire d'une famille de prolétaires à travers les âges]
 [Language: French]",27843
"Le Roman Comique, by Paul Scarron                                        
 [Language: French]",27772
"Esprit des lois, by Montesquieu, Charles de Secondat                     
 [Subtitle: livres I a V, precedes d'une introduction de l'editeur]
 [Language: French]",27573
"Michel Strogoff, by Jules Verne and A. D'Ennery                          
 [Subtitle: Pièce à grand spectacle en 5 actes et 16 tableaux]
 [Language: French]",26823
"Un coeur simple, by Gustave Flaubert                                     
 [Language: French]",26812
"Gamiani, by Alfred de Musset                                             
 [Subtitle: ou Une nuit d'excès]
 [Language: French]",26806
"Le secrétaire intime, by George Sand                                     
 [Language: French]",26614
"La tulipe noire, by Alexandre Dumas                                      
 [Language: French]",26504
"Creation et redemption, by Alexandre Dumas                               
 [Subtitle: Deuxieme partie: La fille du marquis]
 [Language: French]",26476
"Les beaux messieurs de Bois-Dore, by George Sand                         
 [Language: French]",25981
"Correspondance de Voltaire avec le roi de Prusse, by Francois Arouet     
 Voltaire and Frederic II, Roi de Prusse
 [Language: French]",25734
"Le temple de Gnide, by Charles-Louis de Secondat Baron Montesquieu       
 [Language: French]",24260
"Un dilemme, by Joris-Karl Huysmans                                       
 [Language: French]",23940
"La Mare au Diable, by George Sand                                        
 [Language: French]",23582
"Oeuvres completes de Alfred de Musset - Tome 4                           
 [Language: French]",22394
"Napoleon Le Petit, by Victor Hugo                                        
 [Language: French]",22048
"La San-Felice, Vol. 9, by Alexandre Dumas                                
 [Language: French]",21191
"La San-Felice, Tome 8, by Alexandre Dumas                                
 [Language: French]",21017
"Audio: Le tour du monde en quatre-vingts jours by Jules Verne            
 [Language: French]",20973
"Audio: Fables de La Fontaine, Livre Premier, by Jean de La Fontaine      
 [Language: French]",20971
"La Folle Journee ou le Mariage de Figaro, by Pierre Augustin Caron       
 de Beaumarchais
 [Language: French]",20577
"Le prince corsaire, by Paul Scarron                                      
 [Language: French]",20325
"Les Maitres sonneurs, by George Sand                                     
 [Language: French]",20254
"Oeuvres completes, Vol. 3, by Alfred de Musset                           
 [Language: French]",20246
"La vie litteraire, by Anatole France                                     
 [Subtitle: Quatrieme s,rie]
 [Language: French]",20143
"Notre-Dame de Paris, by Victor Hugo                                      
 [Language: French]",19657
"La vie litteraire, by Anatole France                                     
 [Subtitle: Troisieme serie]
 [Language: French]",19345
"La vie litteraire, by Anatole France                                     
 [Subtitle: Deuxieme serie]
 [Language: French]",19344
"La vie litteraire, by Anatole France                                     
 [Subtitle: Premiere serie]
 [Language: French]",19249
"Opinions sociales, by Anatole France                                     
 [Language: French]",19248
"Les opinions de M. Jerome Coignard, by Anatole France                    
 [Subtitle: Recueillies par Jacques Tournebroche]
 [Language: French]",19233
"Le fauteuil hante, by Gaston Leroux                                      
 [Language: French]",19035
"Jean-Jacques Rousseau, by Jules Lemaitre                                 
 [Language: French]",18996
"La San-Felice, Tome VI, by Alexandre Dumas                               
 [Language: French]",18826
"La San-Felice, Tome V, by Alexandre Dumas                                
 [Language: French]",18773
"Hokousai, by Edmond de Goncourt                                          
 [Subtitle: L'art japonais au XVII SiŠcle]
 [Language: French]",18724
"Le capitaine Pamphile, by Alexandre Dumas                                
 [Language: French]",18697
"La San-Felice, Tome IV, by Alexandre Dumas                               
 [Language: French]",18586
"Abrege de l'Histoire Universelle depuis Charlemagne jusques              
 a Charlequint, Tome Premier, by Voltaire
 [Language: French]",18543
"La San-Felice, Tome III, by Alexandre Dumas                              
 [Language: French]",18402
"La San-Felice, Tome II, by Alexandre Dumas                               
 [Language: French]",18401
"La petite roque, by Guy de Maupassant                                    
 [Language: French]",18353
"Acte, by Alexandre Dumas                                                 
 [Language: French]",18321
"Georges, by Alexandre Dumas                                              
 [Language: French]",18271
"Servitude et grandeur militaires, by Alfred de Vigny                     
 [Language: French]",18211
"Simon, by George Sand                                                    
 [Language: French]",18205
"Le Collier de la Reine, Tome II, by Alexandre Dumas                      
 [Language: French]",18200
"Le Collier de la Reine, Tome I, by Alexandre Dumas                       
 [Language: French]",18199
"Smarra ou les demons de la nuit, by Charles Nodier                       
 [Subtitle: Songes romantiques]
 [Language: French]",18083
"Mademoiselle La Quintinie, by George Sand                                
 [Language: French]",18075
"Journal des Goncourt (Troisieme serie, troisieme volume),                
 by Edmond de Goncourt
 [Subtitle: Memoires de la vie litteraire]
 [Language: French]",18055
"Le chevalier d'Harmental, by Alexandre Dumas                             
 [Language: French]",18028
"Le Chevalier de Maison-Rouge, by Alexandre Dumas                         
 [Language: French]",18006
"La femme au collier de velours, by Alexandre Dumas                       
 [Language: French]",18003
"Le comte de Monte-Cristo, Tome IV, by Alexandre Dumas                    
 [Language: French]",17992
"Le comte de Monte-Cristo, Tome III, by Alexandre Dumas                   
 [Language: French]",17991
"Le comte de Monte-Cristo, Tome II, by Alexandre Dumas                    
 [Language: French]",17990
"Le comte de Monte-Cristo, Tome I, by Alexandre Dumas                     
 [Language: French]",17989
"Journal des Goncourt (Troisieme serie, deuxieme volume),                 
 by Edmond de Goncourt
 [Subtitle: Memoires de la vie litteraire]
 [Language: French]",17947
"Fables de La Fontaine, Tome Second, by Jean de La Fontaine               
 [Language: French]",17942
"Fables de La Fontaine, Tome Premier, by Jean de La Fontaine              
 [Language: French]",17941
"Mistress Branican, by Jules Verne                                        
 [Language: French]",17914
"Legendes rustiques, by George Sand                                       
 [Language: French]",17911
"Une ville flottante, by Jules Verne                                      
 [Language: French]",17832
"L'île à hélice, by Jules Verne                                           
 [Language: French]",17798
"Le pays des fourrures, by Jules Verne                                    
 [Language: French]",17796
"La derniŠre Aldini, by George Sand                                       
 [Subtitle: Simon]
 [Language: French]",17795
"Journal des Goncourt, Troisième série, premier volume,                   
 by Edmond de Goncourt
 [Subtitle: Mémoires de la vie littéraire]
 [Language: French]",17746
"La San-Felice, Tome I, by Alexandre Dumas                                
 [Language: French]",17693
"L'archipel en feu, by Jules Verne                                        
 [Language: French]",17660
"Journal d'un voyageur pendant la guerre, by George Sand                  
 [Language: French]",17589
"Sacountala (1858), by Théophile Gautier                                  
 [Subtitle: ballet-pantomime en deux actes
  / tiré du drame indien de Calidasâ]
 [Language: French]",17578
"Son Excellence Eugène Rougon, by Émile Zola                              
 [Language: French]",17557
"La curée, by Émile Zola                                                  
 [Language: French]",17553
"Les femmes d'artistes, by Alphonse Daudet                                
 [Language: French]",17550
"Le rêve, by Émile Zola                                                   
 [Language: French]",17533
"Les misérables Tome V: Jean Valjean, by Victor Hugo                      
 [Language: French]",17519
"Les misérables Tome IV: L'idylle rue Plumet ... rue Saint-Denis,         
 by Victor Hugo
 [Subtitle: L'idylle rue Plumet et l'épopée rue Saint-Denis]
 [Language: French]",17518
"L'oeuvre, by Émile Zola                                                  
 [Language: French]",17517
"L'argent, by Émile Zola                                                  
 [Language: French]",17516
"Journal des Goncourt (Deuxième série, troisième volume),                 
 by Edmond de Goncourt
 [Subtitle: Mémoires de la vie littéraire]
 [Language: French]",17505
"Les misérables Tome III: Marius, by Victor Hugo                          
 [Language: French]",17494
